region,district,township,loss,treecover2000,percentloss,year
Tanintharyi,Kawthoung,Kawthaung,6227,3140789,0.001982623,2001
Ayeyarwady,Bassein,Ngaputaw,1919,2258207,8.49789e-4,2001
Ayeyarwady,Myoungmya,Labutta,2,78864,2.53601e-5,2001
Ayeyarwady,Myoungmya,Myaungmya,29,225412,1.28653e-4,2001
Ayeyarwady,Myoungmya,Wakema,24,17986,0.001334371,2001
Rakhine,Maungtaw,Maungdaw,5288,1296413,0.004078947,2001
Rakhine,Buthidaung,Buthidaung,3472,2160957,0.001606696,2001
Rakhine,Buthidaung,Ponnagyun & Rathedaung,2082,1031589,0.002018246,2001
Rakhine,Buthidaung,Sittwe (Akyab),0,2179,0,2001
Rakhine,Sittwe,Pauktaw,356,199933,0.001780596,2001
Rakhine,Sittwe,Myebon,3612,1624717,0.002223156,2001
Rakhine,Kyaunkpyu,Kyaukpyu,1901,587306,0.003236814,2001
Rakhine,Kyaunkpyu,An,9662,8382837,0.001152593,2001
Rakhine,Sittwe,Minbya,3628,3658938,9.91545e-4,2001
Rakhine,Sittwe,Mrauk-Oo,532,603619,8.81351e-4,2001
Chin,Mindat,Paletwa,8666,12225679,7.08836e-4,2001
Chin,Mindat,Kanpetlet,1903,2850034,6.67711e-4,2001
Rakhine,Sittwe,Kyauktaw,930,1475443,6.30319e-4,2001
Chin,Mindat,Matupi,2242,6387534,3.50996e-4,2001
Chin,Palam,Thlangtlang,11943,4675850,0.002554188,2001
Chin,Palam,Haka,7564,4694623,0.001611205,2001
Chin,Mindat,Mindat,6856,4717849,0.001453205,2001
Magway,Pakokku,Saw,1227,1787752,6.86337e-4,2001
Magway,Pakokku,Seikpyu,209,225644,9.26238e-4,2001
Magway,Pakokku,Pauk,1067,569137,0.001874768,2001
Magway,Pakokku,Htilin,490,930198,5.2677e-4,2001
Magway,Pakokku,Gangaw,1391,1661654,8.37118e-4,2001
Sagaing,Kalemyo,Kale,2206,2412434,9.14429e-4,2001
Sagaing,Kalemyo,Mingin,1821,3471362,5.24578e-4,2001
Sagaing,Monywa,Kani,2034,2650588,7.67377e-4,2001
Sagaing,Monywa,Pale,696,673174,0.001033908,2001
Magway,Pakokku,Myaing,14,4848,0.002887789,2001
Sagaing,Monywa,Yinmabin,75,24038,0.00312006,2001
Sagaing,Monywa,Budalin,2,4327,4.62214e-4,2001
Sagaing,Monywa,Monywa,2,709,0.002820874,2001
Sagaing,Monywa,Salingyi,4,1731,0.002310803,2001
Magway,Pakokku,Yesagyo,2,2253,8.87705e-4,2001
Magway,Pakokku,Pakokku,13,975,0.013333333,2001
Mandalay,Myingyan,Nyaungu,0,308,0,2001
Mandalay,Myingyan,Kyaukpadaung,21,76372,2.7497e-4,2001
Magway,Magwe Minbu,Chauk,0,338,0,2001
Magway,Minbu,Salin,134,464085,2.8874e-4,2001
Magway,Magwe Minbu,Yenangyaung,0,111,0,2001
Magway,Magwe Minbu,Magwe,0,150,0,2001
Magway,Minbu,Minbu (Sagu),114,93038,0.001225306,2001
Magway,Minbu,Pwinbyu,41,209815,1.9541e-4,2001
Magway,Minbu,Sidoktaya,835,2863453,2.91606e-4,2001
Magway,Minbu,Ngape,277,880920,3.14444e-4,2001
Magway,Thayetmyo,Minhla,584,720876,8.10125e-4,2001
Magway,Thayetmyo,Mindon,815,2155693,3.78069e-4,2001
Magway,Thayetmyo,Sinbaungwe (Tantabin),147,191828,7.66311e-4,2001
Magway,Thayetmyo,Thayet,9,131013,6.86955e-5,2001
Magway,Thayetmyo,Kama,45,608776,7.39188e-5,2001
Rakhine,Thandwe,Taungup,6354,5478524,0.001159801,2001
Rakhine,Thandwe,Arakan (Sandoway),1290,4649772,2.77433e-4,2001
Bago,Pyay,Padaung,192,1760537,1.09058e-4,2001
