NAME_1,NAME_2,NAME_3,loss_2004,treecover2000,percentloss
Tanintharyi,Kawthoung,Kawthaung,32562,3140789,0.010367459
Ayeyarwady,Bassein,Ngaputaw,1072,2258207,0.000474713
Ayeyarwady,Myoungmya,Labutta,64,78864,0.000811524
Ayeyarwady,Myoungmya,Myaungmya,28,225412,0.000124217
Ayeyarwady,Myoungmya,Wakema,32,17986,0.001779162
Rakhine,Maungtaw,Maungdaw,2951,1296413,0.002276281
Rakhine,Buthidaung,Buthidaung,2852,2160957,0.001319786
Rakhine,Buthidaung,Ponnagyun & Rathedaung,3727,1031589,0.003612873
Rakhine,Buthidaung,Sittwe (Akyab),1,2179,0.000458926
Rakhine,Sittwe,Pauktaw,957,199933,0.004786604
Rakhine,Sittwe,Myebon,18394,1624717,0.011321356
Rakhine,Kyaunkpyu,Kyaukpyu,2554,587306,0.00434867
Rakhine,Kyaunkpyu,An,10869,8382837,0.001296578
Rakhine,Sittwe,Minbya,6638,3658938,0.001814188
Rakhine,Sittwe,Mrauk-Oo,2002,603619,0.003316662
Chin,Mindat,Paletwa,13860,12225679,0.001133679
Chin,Mindat,Kanpetlet,4559,2850034,0.00159963
Rakhine,Sittwe,Kyauktaw,2062,1475443,0.001397546
Chin,Mindat,Matupi,12563,6387534,0.0019668
Chin,Palam,Thlangtlang,23930,4675850,0.005117786
Chin,Palam,Haka,10266,4694623,0.002186757
Chin,Mindat,Mindat,13794,4717849,0.00292379
Magway,Pakokku,Saw,6975,1787752,0.003901548
Magway,Pakokku,Seikpyu,289,225644,0.001280779
Magway,Pakokku,Pauk,4356,569137,0.007653693
Magway,Pakokku,Htilin,2908,930198,0.003126216
Magway,Pakokku,Gangaw,5160,1661654,0.00310534
Sagaing,Kalemyo,Kale,2652,2412434,0.001099305
Sagaing,Kalemyo,Mingin,2608,3471362,0.00075129
Sagaing,Monywa,Kani,3441,2650588,0.001298203
Sagaing,Monywa,Pale,3824,673174,0.005680552
Magway,Pakokku,Myaing,45,4848,0.009282178
Sagaing,Monywa,Yinmabin,300,24038,0.01248024
Sagaing,Monywa,Budalin,29,4327,0.006702103
Sagaing,Monywa,Monywa,19,709,0.026798307
Sagaing,Monywa,Salingyi,2,1731,0.001155402
Magway,Pakokku,Yesagyo,0,2253,0
Magway,Pakokku,Pakokku,11,975,0.011282051
Mandalay,Myingyan,Nyaungu,0,308,0
Mandalay,Myingyan,Kyaukpadaung,16,76372,0.000209501
Magway,Magwe Minbu,Chauk,2,338,0.00591716
Magway,Minbu,Salin,341,464085,0.000734779
Magway,Magwe Minbu,Yenangyaung,2,111,0.018018018
Magway,Magwe Minbu,Magwe,0,150,0
Magway,Minbu,Minbu (Sagu),319,93038,0.003428707
Magway,Minbu,Pwinbyu,168,209815,0.000800705
Magway,Minbu,Sidoktaya,4028,2863453,0.001406693
Magway,Minbu,Ngape,799,880920,0.000907006
Magway,Thayetmyo,Minhla,1094,720876,0.001517598
Magway,Thayetmyo,Mindon,1400,2155693,0.000649443
Magway,Thayetmyo,Sinbaungwe (Tantabin),286,191828,0.001490919
Magway,Thayetmyo,Thayet,49,131013,0.000374009
Magway,Thayetmyo,Kama,739,608776,0.001213911
Rakhine,Thandwe,Taungup,6235,5478524,0.00113808
Rakhine,Thandwe,Arakan (Sandoway),3423,4649772,0.000736165
Bago,Pyay,Padaung,846,1760537,0.000480535
Bago,Pyay,Shwedaung,8,50887,0.000157211
Ayeyarwady,Hinthada,Kyangin,281,470713,0.000596967
Ayeyarwady,Hinthada,Myanaung,104,694854,0.000149672
Ayeyarwady,Hinthada,Ingapu,330,875065,0.000377115
Rakhine,Thandwe,Gwa,3869,3113144,0.001242795
Rakhine,Kyaunkpyu,Man Aung,18,252183,7.13767E-05
Rakhine,Kyaunkpyu,Ramree,2916,917803,0.003177152
Ayeyarwady,Bassein,Bassein West,3930,1121269,0.003504957
Ayeyarwady,Bassein,Thabaung,3031,1591547,0.001904436
Ayeyarwady,Hinthada,Lemyethna,222,585055,0.000379452
Ayeyarwady,Bassein,Yegyi,144,453532,0.000317508
Ayeyarwady,Bassein,Kyonpyaw,27,87870,0.000307272
Ayeyarwady,Bassein,Kyaunggon,5,20394,0.00024517
Ayeyarwady,Myoungmya,Einme,5,32902,0.000151966
Ayeyarwady,Myoungmya,Moulmeingyun,5,10347,0.000483232
Ayeyarwady,Maubin,Pantanaw,151,136447,0.001106657
Ayeyarwady,Pharpon,Kyaiklat,7,24235,0.000288838
Ayeyarwady,Maubin,Ma-Ubin,18,20191,0.000891486
Ayeyarwady,Maubin,Irrawaddy,17,25431,0.000668475
Ayeyarwady,Maubin,Yandoon,36,58093,0.000619696
Ayeyarwady,Maubin,Danubyu,3,46895,6.39727E-05
Yangon,Yangon-N,Taikkyi,6,29022,0.00020674
Ayeyarwady,Hinthada,Henzada,10,76335,0.000131002
Ayeyarwady,Hinthada,Danubyu,15,56837,0.000263913
Bago,Thayarwady,Minhla,767,1072069,0.000715439
Ayeyarwady,Hinthada,Zalun,19,40527,0.000468823
Bago,Thayarwady,Monyo,5,17778,0.000281246
Bago,Thayarwady,Tharrawaddy,5,19361,0.000258251
Yangon,Yangon-N,Hmawbi,1393,738893,0.001885253
Yangon,Yangon-N,Hlegu,4670,867395,0.005383937
Bago,Thayarwady,Letpatan,613,609211,0.00100622
Bago,Pegu,Bago (Pegu),16093,2458344,0.006546277
Bago,Pegu,Kyauktaga,10632,2811773,0.003781244
Bago,Pegu,Daik-U,7405,467487,0.015840013
Bago,Pegu,Kawa,10,15215,0.000657246
Yangon,Yangon-S,Kayan,0,4798,0
Yangon,Yangon-S,Syriam,7,2559,0.002735444
Yangon,Yangon-E,Yangon (Rangoon),6,2381,0.00251995
Yangon,Yangon-W,Yangon (Rangoon),6,5167,0.001161215
Yangon,Yangon-N,Htantabin,8,3599,0.00222284
Yangon,Yangon-S,Insein,19,11756,0.001616196
Yangon,Yangon-S,Kawkhmu,572,185181,0.00308887
Ayeyarwady,Pharpon,Dedaye,5,13432,0.000372245
Yangon,Yangon-S,Kungyangon,246,64359,0.003822309
Yangon,Yangon-S,Kyauktan,17,3667,0.004635942
Yangon,Yangon-S,Thongwa,0,2050,0
Bago,Pegu,Thanatpin,13,9451,0.001375516
Mon,Thaton,Bilin,6581,1877036,0.00350606
Mon,Thaton,Paung,744,240921,0.003088149
Mon,Mawlamyine,Chaungzon,24,57547,0.00041705
Mon,Mawlamyine,Moulmein,39,15320,0.002545692
Mon,Mawlamyine,Mudon,220,257485,0.000854419
Mon,Mawlamyine,Kyaikmaraw,1014,556959,0.001820601
Kayin,Kawkareik,Pa-An,5283,1419591,0.003721494
Mon,Thaton,Thaton,1116,631416,0.001767456
Kayin,Kawkareik,Hlaingbwe,13220,4235041,0.003121575
Mon,Thaton,Kyaikto,2803,871958,0.003214604
Bago,Pegu,Shwegyin,8469,2804952,0.003019303
Kayin,Kawkareik,Papun,37343,8723762,0.004280607
Bago,Pegu,Nyaungiebin,47,21410,0.002195236
Bago,Pegu,Waw,10,16993,0.000588478
Bago,Taungoo,Pyu,1223,1819751,0.00067207
Bago,Taungoo,Kyaukki,7258,2323858,0.003123255
Bago,Taungoo,Oktwin,2930,1286045,0.002278303
Bago,Taungoo,Tantabin,351,143523,0.002445601
Kayin,Kawkareik,Thandaung,8321,4749629,0.001751926
Kayah,Bawlake,Pasawng,4558,4227571,0.00107816
Kayah,Bawlake,Bawlakhe,3663,2291745,0.001598345
Kayah,Loikaw,Hsataw,1713,2785146,0.000615049
