"","Township","Year","Number.of.Loss.Patches","Avg.Patch.Size","Total.Area.of.Loss.Patches"
"1","Amarapura","2001",6,2036.691109523,12220.146657138
"2","Amarapura","2002",1,719.014544347517,719.014544347517
"3","Amarapura","2003",2,718.689820022307,1437.37964004461
"4","Amarapura","2004",1,2156.03708785243,2156.03708785243
"5","Amarapura","2005",3,958.120930485206,2874.36279145562
"6","Amarapura","2006",3,1677.47351119313,5032.42053357939
"7","Amarapura","2007",0,0,0
"8","Amarapura","2008",8,988.437186848308,7907.49749478646
"9","Amarapura","2009",9,958.458030787034,8626.1222770833
"10","Amarapura","2010",11,1633.470174632,17968.1719209521
"11","Amarapura","2011",7,1335.06897145,9345.48280014997
"12","Amarapura","2012",5,1438.05526609196,7190.2763304598
"13","Amarapura","2013",23,1406.51750378605,32349.9025870792
"14","Amarapura","2014",17,1987.75866757444,33791.8973487655
"15","Amarapura","2015",16,4852.11042842295,77633.7668547672
"16","Amarapura","2016",0,0,0
"17","Amarapura","2017",13,5088.19222790487,66146.4989627633
"18","An","2001",3925,2587.91432404637,10157563.721882
"19","An","2002",2946,4070.56631928866,11991888.3766244
"20","An","2003",5098,2621.65811567754,13365213.0737241
"21","An","2004",4182,3172.61864485114,13267891.1727675
"22","An","2005",6342,3349.39215584457,21241845.0523663
"23","An","2006",7197,3716.18382201364,26745374.9670322
"24","An","2007",11558,3251.9622235817,37586179.3801573
"25","An","2008",8721,4553.94984896813,39714996.632851
"26","An","2009",5886,5023.02243456162,29565510.0498297
"27","An","2010",9757,4021.57320618438,39238489.772741
"28","An","2011",6086,3553.42566248008,21626148.5818538
"29","An","2012",11855,2771.76340911509,32859255.2150594
"30","An","2013",13420,2896.19045979655,38866875.9704698
"31","An","2014",10190,4123.88875279955,42022426.3910274
"32","An","2015",6472,7974.8978188838,51613538.683816
"33","An","2016",7054,12543.9022709667,88484686.619399
"34","An","2017",7256,12038.7021389224,87352822.7200209
"35","Arakan (Sandoway)","2001",704,1812.48231417775,1275987.54918113
"36","Arakan (Sandoway)","2002",671,1986.93535130233,1333233.62072386
"37","Arakan (Sandoway)","2003",706,2039.91255384476,1440178.2630144
"38","Arakan (Sandoway)","2004",1568,2193.37460630834,3439211.38269148
"39","Arakan (Sandoway)","2005",1259,1967.21933627962,2476729.14437604
"40","Arakan (Sandoway)","2006",1479,2604.00904065995,3851329.37113607
"41","Arakan (Sandoway)","2007",830,3386.0181923979,2810395.09969026
"42","Arakan (Sandoway)","2008",1997,2817.56916446434,5626685.62143529
"43","Arakan (Sandoway)","2009",1499,3041.40371399558,4559064.16727937
"44","Arakan (Sandoway)","2010",1528,3433.70655175551,5246703.61108242
"45","Arakan (Sandoway)","2011",1846,3429.25170259534,6330398.64299099
"46","Arakan (Sandoway)","2012",4845,2560.83085852745,12407225.5095655
"47","Arakan (Sandoway)","2013",5575,2234.38305911581,12456685.5545707
"48","Arakan (Sandoway)","2014",3869,3881.76981931003,15018567.4309105
"49","Arakan (Sandoway)","2015",1121,5354.41420150275,6002298.31988459
"50","Arakan (Sandoway)","2016",1484,7007.85220985602,10399652.6794263
"51","Arakan (Sandoway)","2017",1455,8833.30264601263,12852455.3499484
"52","Ayadaw","2001",1,715.935368325516,715.935368325516
"53","Ayadaw","2002",5,859.540217913343,4297.70108956672
"54","Ayadaw","2003",4,895.26806181547,3581.07224726188
"55","Ayadaw","2004",6,955.218577208139,5731.31146324883
"56","Ayadaw","2005",9,1511.57367322754,13604.1630590479
"57","Ayadaw","2006",3,954.472084246984,2863.41625274095
"58","Ayadaw","2007",19,1130.72519560645,21483.7787165226
"59","Ayadaw","2008",8,1253.85620862224,10030.8496689779
"60","Ayadaw","2009",6,955.139748457723,5730.83849074634
"61","Ayadaw","2010",12,1014.66630780378,12175.9956936454
"62","Ayadaw","2011",10,931.37248339935,9313.7248339935
"63","Ayadaw","2012",20,1289.50877337248,25790.1754674495
"64","Ayadaw","2013",26,2314.37097426348,60173.6453308504
"65","Ayadaw","2014",48,3208.25519996357,153996.249598251
"66","Ayadaw","2015",77,2845.41384877395,219096.866355594
"67","Ayadaw","2016",3,11940.3715048348,35821.1145145044
"68","Ayadaw","2017",2,4298.69462931023,8597.38925862045
"69","Bago (Pegu)","2001",1359,2005.02497785782,2724828.94490878
"70","Bago (Pegu)","2002",2582,2143.28121642834,5533952.10081797
"71","Bago (Pegu)","2003",1168,2372.00930683444,2770506.87038263
"72","Bago (Pegu)","2004",8905,2414.74861770901,21503336.4406988
"73","Bago (Pegu)","2005",1986,2386.11277701819,4738819.97515814
"74","Bago (Pegu)","2006",2449,5680.16433085308,13910722.4462592
"75","Bago (Pegu)","2007",2647,2741.28940092246,7256193.04424174
"76","Bago (Pegu)","2008",2117,3674.80787211938,7779568.26527674
"77","Bago (Pegu)","2009",3848,2548.5855796202,9806957.31037854
"78","Bago (Pegu)","2010",2243,6456.30539438971,14481492.9996161
"79","Bago (Pegu)","2011",7603,3991.81978715303,30349805.8417245
"80","Bago (Pegu)","2012",9393,4182.52454505423,39286453.0516943
"81","Bago (Pegu)","2013",4586,4313.45521834218,19781505.6313172
"82","Bago (Pegu)","2014",4194,11836.5322900848,49642416.4246157
"83","Bago (Pegu)","2015",1633,11281.0414741764,18421940.7273301
"84","Bago (Pegu)","2016",939,14805.0021140674,13901896.9851093
"85","Bago (Pegu)","2017",1678,9424.44530807549,15814219.2269507
"86","Banmauk","2001",1908,2659.97080423041,5075224.29447161
"87","Banmauk","2002",1261,2889.53503411194,3643703.67801515
"88","Banmauk","2003",2665,3448.87674259894,9191256.51902619
"89","Banmauk","2004",2106,3491.33442574342,7352750.30061563
"90","Banmauk","2005",2425,3373.48566497966,8180702.73757568
"91","Banmauk","2006",2178,3285.32821356453,7155444.84914355
"92","Banmauk","2007",4806,3648.22335440044,17533361.4412485
"93","Banmauk","2008",3353,3307.09447951217,11088687.7898043
"94","Banmauk","2009",4302,4180.97641429147,17986560.5342819
"95","Banmauk","2010",3311,4316.53508243286,14292047.6579352
"96","Banmauk","2011",2570,4430.82096392083,11387209.8772765
"97","Banmauk","2012",6564,3261.53815044309,21408736.4195085
"98","Banmauk","2013",4891,2124.03600808949,10388660.1155657
"99","Banmauk","2014",5448,2910.68737811422,15857424.8359663
"100","Banmauk","2015",3002,5340.51548309319,16032227.4802457
"101","Banmauk","2016",3695,4990.75427476208,18440837.0452459
"102","Banmauk","2017",3790,4478.49851125029,16973509.3576386
"103","Bassein West","2001",1197,2959.53328642454,3542561.34385018
